source,company,title,text,url,published_at,timestamp,mention_count,sentiment_score,sentiment_label,score,raw_json
news,Salesforce,Salesforce reports 50% growth in microservices sector,"Salesforce reports 50% growth in microservices sector. Salesforce continues to innovate in the microservices space, with industry analysts noting significant progress in recent developments. The company's strategic focus on microservices technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/cloud/salesforce/8440,2025-09-17T21:33:03.435108Z,1758124983,62,0.816,positive,18,"{""domain"": ""cloud"", ""processed_at"": ""2025-10-06T21:11:03.436105"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 958, ""shares"": 442, ""comments"": 143}}"
news,Microsoft Azure,Microsoft Azure acquires startup specializing in containers,"Microsoft Azure acquires startup specializing in containers. Microsoft Azure continues to innovate in the containers space, with industry analysts noting significant progress in recent developments. The company's strategic focus on containers technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/cloud/microsoft-azure/5641,2025-09-15T01:14:03.435108Z,1757879043,28,0.685,positive,101,"{""domain"": ""cloud"", ""processed_at"": ""2025-10-06T21:11:03.436105"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 384, ""shares"": 313, ""comments"": 49}}"
news,Google Cloud,Google Cloud launches new migration platform for enterprises,"Google Cloud launches new migration platform for enterprises. Google Cloud continues to innovate in the migration space, with industry analysts noting significant progress in recent developments. The company's strategic focus on migration technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/cloud/google-cloud/2837,2025-08-10T22:56:03.435108Z,1754846763,38,-0.081,neutral,194,"{""domain"": ""cloud"", ""processed_at"": ""2025-10-06T21:11:03.436105"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 941, ""shares"": 165, ""comments"": 179}}"
news,Salesforce,Salesforce faces regulatory scrutiny over kubernetes practices,"Salesforce faces regulatory scrutiny over kubernetes practices. Salesforce continues to innovate in the kubernetes space, with industry analysts noting significant progress in recent developments. The company's strategic focus on kubernetes technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/cloud/salesforce/1185,2025-09-16T15:11:03.435108Z,1758015663,57,0.175,neutral,76,"{""domain"": ""cloud"", ""processed_at"": ""2025-10-06T21:11:03.436105"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 788, ""shares"": 255, ""comments"": 149}}"
news,Microsoft Azure,Microsoft Azure partners with major tech firms on scalability initiative,"Microsoft Azure partners with major tech firms on scalability initiative. Microsoft Azure continues to innovate in the scalability space, with industry analysts noting significant progress in recent developments. The company's strategic focus on scalability technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/cloud/microsoft-azure/4952,2025-10-02T16:13:03.435108Z,1759401783,27,0.119,neutral,482,"{""domain"": ""cloud"", ""processed_at"": ""2025-10-06T21:11:03.436105"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 551, ""shares"": 389, ""comments"": 102}}"
news,Google Cloud,Google Cloud launches new infrastructure platform for enterprises,"Google Cloud launches new infrastructure platform for enterprises. Google Cloud continues to innovate in the infrastructure space, with industry analysts noting significant progress in recent developments. The company's strategic focus on infrastructure technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/cloud/google-cloud/1117,2025-09-14T04:42:03.435108Z,1757805123,24,0.862,positive,20,"{""domain"": ""cloud"", ""processed_at"": ""2025-10-06T21:11:03.436105"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 629, ""shares"": 359, ""comments"": 36}}"
news,Oracle,Oracle raises $100M for containers research and development,"Oracle raises $100M for containers research and development. Oracle continues to innovate in the containers space, with industry analysts noting significant progress in recent developments. The company's strategic focus on containers technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/cloud/oracle/6409,2025-10-05T23:46:03.435108Z,1759688163,116,-0.279,negative,158,"{""domain"": ""cloud"", ""processed_at"": ""2025-10-06T21:11:03.436105"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 97, ""shares"": 218, ""comments"": 117}}"
news,Oracle,Oracle reports 46% growth in containers sector,"Oracle reports 46% growth in containers sector. Oracle continues to innovate in the containers space, with industry analysts noting significant progress in recent developments. The company's strategic focus on containers technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/cloud/oracle/7586,2025-09-06T21:04:03.435108Z,1757172843,58,0.279,positive,79,"{""domain"": ""cloud"", ""processed_at"": ""2025-10-06T21:11:03.436105"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 731, ""shares"": 213, ""comments"": 32}}"
news,AWS,AWS addresses concerns about scalability security,"AWS addresses concerns about scalability security. AWS continues to innovate in the scalability space, with industry analysts noting significant progress in recent developments. The company's strategic focus on scalability technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/cloud/aws/3483,2025-07-12T14:31:03.435108Z,1752310863,126,0.37,positive,47,"{""domain"": ""cloud"", ""processed_at"": ""2025-10-06T21:11:03.437102"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 520, ""shares"": 490, ""comments"": 12}}"
news,Oracle,Oracle wins major contract for SaaS implementation,"Oracle wins major contract for SaaS implementation. Oracle continues to innovate in the SaaS space, with industry analysts noting significant progress in recent developments. The company's strategic focus on SaaS technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/cloud/oracle/5756,2025-09-30T05:47:03.435108Z,1759191423,128,0.175,neutral,39,"{""domain"": ""cloud"", ""processed_at"": ""2025-10-06T21:11:03.437102"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 794, ""shares"": 368, ""comments"": 102}}"
