source,company,title,text,url,published_at,timestamp,mention_count,sentiment_score,sentiment_label,score,raw_json
news,First Solar,First Solar partners with major tech firms on renewable energy initiative,"First Solar partners with major tech firms on renewable energy initiative. First Solar continues to innovate in the renewable energy space, with industry analysts noting significant progress in recent developments. The company's strategic focus on renewable energy technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/first-solar/2237,2025-07-18T11:56:03.511266Z,1752819963,116,0.205,neutral,46,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.511266"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 88, ""shares"": 102, ""comments"": 2}}"
news,Tesla Energy,Tesla Energy announces breakthrough in renewable energy technology,"Tesla Energy announces breakthrough in renewable energy technology. Tesla Energy continues to innovate in the renewable energy space, with industry analysts noting significant progress in recent developments. The company's strategic focus on renewable energy technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/tesla-energy/9271,2025-09-27T17:19:03.511266Z,1758973743,104,-0.181,neutral,117,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.511266"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 326, ""shares"": 145, ""comments"": 105}}"
news,Ørsted,Ørsted announces breakthrough in electric vehicles technology,"Ørsted announces breakthrough in electric vehicles technology. Ørsted continues to innovate in the electric vehicles space, with industry analysts noting significant progress in recent developments. The company's strategic focus on electric vehicles technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/ørsted/5872,2025-08-03T00:08:03.511266Z,1754159883,37,0.5,positive,100,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.511266"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 420, ""shares"": 483, ""comments"": 98}}"
news,Ørsted,Ørsted announces breakthrough in carbon capture technology,"Ørsted announces breakthrough in carbon capture technology. Ørsted continues to innovate in the carbon capture space, with industry analysts noting significant progress in recent developments. The company's strategic focus on carbon capture technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/ørsted/9174,2025-09-27T21:22:03.511266Z,1758988323,54,-0.506,negative,11,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.511266"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 743, ""shares"": 63, ""comments"": 188}}"
news,Ørsted,Ørsted faces regulatory scrutiny over renewable energy practices,"Ørsted faces regulatory scrutiny over renewable energy practices. Ørsted continues to innovate in the renewable energy space, with industry analysts noting significant progress in recent developments. The company's strategic focus on renewable energy technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/ørsted/4975,2025-07-30T09:53:03.511266Z,1753849383,21,-0.108,neutral,143,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.511266"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 402, ""shares"": 182, ""comments"": 16}}"
news,Enphase Energy,Enphase Energy collaborates with universities on electric vehicles research,"Enphase Energy collaborates with universities on electric vehicles research. Enphase Energy continues to innovate in the electric vehicles space, with industry analysts noting significant progress in recent developments. The company's strategic focus on electric vehicles technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/enphase-energy/8702,2025-09-30T07:49:03.511266Z,1759198743,29,-0.383,negative,35,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.511266"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 99, ""shares"": 364, ""comments"": 69}}"
news,First Solar,First Solar releases open-source sustainability framework,"First Solar releases open-source sustainability framework. First Solar continues to innovate in the sustainability space, with industry analysts noting significant progress in recent developments. The company's strategic focus on sustainability technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/first-solar/8494,2025-09-24T02:31:03.511266Z,1758661263,38,-0.247,neutral,28,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.511266"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 169, ""shares"": 46, ""comments"": 28}}"
news,Enphase Energy,Enphase Energy stock surges after sustainability product launch,"Enphase Energy stock surges after sustainability product launch. Enphase Energy continues to innovate in the sustainability space, with industry analysts noting significant progress in recent developments. The company's strategic focus on sustainability technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/enphase-energy/4128,2025-08-20T08:43:03.511266Z,1755659583,32,0.169,neutral,19,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.511266"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 253, ""shares"": 155, ""comments"": 0}}"
news,First Solar,First Solar announces breakthrough in renewable energy technology,"First Solar announces breakthrough in renewable energy technology. First Solar continues to innovate in the renewable energy space, with industry analysts noting significant progress in recent developments. The company's strategic focus on renewable energy technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/first-solar/5850,2025-07-18T11:23:03.511266Z,1752817983,113,-0.021,neutral,17,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.511266"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 334, ""shares"": 387, ""comments"": 97}}"
news,Enphase Energy,Enphase Energy announces breakthrough in carbon capture technology,"Enphase Energy announces breakthrough in carbon capture technology. Enphase Energy continues to innovate in the carbon capture space, with industry analysts noting significant progress in recent developments. The company's strategic focus on carbon capture technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/enphase-energy/8018,2025-10-05T21:53:03.511266Z,1759681383,67,0.711,positive,84,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.512259"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 794, ""shares"": 494, ""comments"": 103}}"
news,Ørsted,Ørsted partners with major tech firms on wind energy initiative,"Ørsted partners with major tech firms on wind energy initiative. Ørsted continues to innovate in the wind energy space, with industry analysts noting significant progress in recent developments. The company's strategic focus on wind energy technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/ørsted/1000,2025-08-04T04:47:03.511266Z,1754263023,11,0.501,positive,127,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.512259"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 805, ""shares"": 174, ""comments"": 129}}"
news,Ørsted,Ørsted addresses concerns about electric vehicles security,"Ørsted addresses concerns about electric vehicles security. Ørsted continues to innovate in the electric vehicles space, with industry analysts noting significant progress in recent developments. The company's strategic focus on electric vehicles technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/ørsted/3364,2025-09-01T09:24:03.511266Z,1756698843,122,-0.192,neutral,54,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.512259"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 211, ""shares"": 38, ""comments"": 163}}"
news,First Solar,First Solar stock surges after solar power product launch,"First Solar stock surges after solar power product launch. First Solar continues to innovate in the solar power space, with industry analysts noting significant progress in recent developments. The company's strategic focus on solar power technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/first-solar/7286,2025-09-11T06:32:03.511266Z,1757552523,47,-0.26,negative,209,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.512259"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 184, ""shares"": 390, ""comments"": 178}}"
news,Siemens Energy,Siemens Energy announces breakthrough in wind energy technology,"Siemens Energy announces breakthrough in wind energy technology. Siemens Energy continues to innovate in the wind energy space, with industry analysts noting significant progress in recent developments. The company's strategic focus on wind energy technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/siemens-energy/9006,2025-08-29T00:31:03.511266Z,1756407663,102,0.211,neutral,157,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.512259"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 162, ""shares"": 245, ""comments"": 183}}"
news,First Solar,First Solar addresses concerns about carbon capture security,"First Solar addresses concerns about carbon capture security. First Solar continues to innovate in the carbon capture space, with industry analysts noting significant progress in recent developments. The company's strategic focus on carbon capture technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/first-solar/4995,2025-07-09T03:32:03.511266Z,1752012123,14,-0.062,neutral,12,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.512259"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 288, ""shares"": 32, ""comments"": 99}}"
news,Ørsted,Ørsted wins major contract for battery technology implementation,"Ørsted wins major contract for battery technology implementation. Ørsted continues to innovate in the battery technology space, with industry analysts noting significant progress in recent developments. The company's strategic focus on battery technology technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/ørsted/4671,2025-08-23T19:17:03.511266Z,1755956823,25,1.0,positive,67,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.512259"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 751, ""shares"": 78, ""comments"": 27}}"
news,Siemens Energy,Siemens Energy partners with major tech firms on renewable energy initiative,"Siemens Energy partners with major tech firms on renewable energy initiative. Siemens Energy continues to innovate in the renewable energy space, with industry analysts noting significant progress in recent developments. The company's strategic focus on renewable energy technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/siemens-energy/7263,2025-07-25T05:59:03.511266Z,1753403343,48,-0.04,neutral,19,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.512259"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 501, ""shares"": 233, ""comments"": 98}}"
news,Ørsted,Ørsted CEO discusses future of energy storage at tech conference,"Ørsted CEO discusses future of energy storage at tech conference. Ørsted continues to innovate in the energy storage space, with industry analysts noting significant progress in recent developments. The company's strategic focus on energy storage technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/ørsted/1062,2025-08-17T03:00:03.511266Z,1755379803,99,-0.465,negative,40,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.512259"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 267, ""shares"": 489, ""comments"": 138}}"
news,Enphase Energy,Enphase Energy faces regulatory scrutiny over clean technology practices,"Enphase Energy faces regulatory scrutiny over clean technology practices. Enphase Energy continues to innovate in the clean technology space, with industry analysts noting significant progress in recent developments. The company's strategic focus on clean technology technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/enphase-energy/6099,2025-08-02T03:20:03.511266Z,1754085003,56,-0.807,negative,26,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.512259"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 233, ""shares"": 44, ""comments"": 71}}"
news,Siemens Energy,Siemens Energy CEO discusses future of carbon capture at tech conference,"Siemens Energy CEO discusses future of carbon capture at tech conference. Siemens Energy continues to innovate in the carbon capture space, with industry analysts noting significant progress in recent developments. The company's strategic focus on carbon capture technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/siemens-energy/1692,2025-07-26T05:27:03.511266Z,1753487823,148,0.511,positive,62,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.512259"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 144, ""shares"": 370, ""comments"": 147}}"
news,Enphase Energy,Enphase Energy acquires startup specializing in solar power,"Enphase Energy acquires startup specializing in solar power. Enphase Energy continues to innovate in the solar power space, with industry analysts noting significant progress in recent developments. The company's strategic focus on solar power technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/enphase-energy/2809,2025-07-30T19:00:03.511266Z,1753882203,142,-0.379,negative,29,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.512259"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 717, ""shares"": 5, ""comments"": 134}}"
news,Ørsted,Ørsted stock surges after green hydrogen product launch,"Ørsted stock surges after green hydrogen product launch. Ørsted continues to innovate in the green hydrogen space, with industry analysts noting significant progress in recent developments. The company's strategic focus on green hydrogen technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/ørsted/6058,2025-08-04T03:39:03.511266Z,1754258943,83,0.372,positive,117,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.513258"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 681, ""shares"": 406, ""comments"": 90}}"
news,Enphase Energy,Enphase Energy acquires startup specializing in carbon capture,"Enphase Energy acquires startup specializing in carbon capture. Enphase Energy continues to innovate in the carbon capture space, with industry analysts noting significant progress in recent developments. The company's strategic focus on carbon capture technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/enphase-energy/9452,2025-09-15T14:11:03.511266Z,1757925663,104,0.845,positive,199,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.513258"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 543, ""shares"": 436, ""comments"": 137}}"
news,Tesla Energy,Tesla Energy acquires startup specializing in green hydrogen,"Tesla Energy acquires startup specializing in green hydrogen. Tesla Energy continues to innovate in the green hydrogen space, with industry analysts noting significant progress in recent developments. The company's strategic focus on green hydrogen technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/tesla-energy/6090,2025-09-29T16:30:03.511266Z,1759143603,16,0.205,neutral,60,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.513258"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 93, ""shares"": 476, ""comments"": 133}}"
news,Siemens Energy,Siemens Energy announces breakthrough in clean technology technology,"Siemens Energy announces breakthrough in clean technology technology. Siemens Energy continues to innovate in the clean technology space, with industry analysts noting significant progress in recent developments. The company's strategic focus on clean technology technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/siemens-energy/2571,2025-07-10T22:38:03.511266Z,1752167283,48,0.591,positive,28,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.513258"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 426, ""shares"": 434, ""comments"": 30}}"
news,Siemens Energy,Siemens Energy wins major contract for electric vehicles implementation,"Siemens Energy wins major contract for electric vehicles implementation. Siemens Energy continues to innovate in the electric vehicles space, with industry analysts noting significant progress in recent developments. The company's strategic focus on electric vehicles technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/siemens-energy/4697,2025-09-14T21:12:03.511266Z,1757864523,118,0.219,neutral,78,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.513258"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 974, ""shares"": 15, ""comments"": 11}}"
news,Siemens Energy,Siemens Energy releases open-source electric vehicles framework,"Siemens Energy releases open-source electric vehicles framework. Siemens Energy continues to innovate in the electric vehicles space, with industry analysts noting significant progress in recent developments. The company's strategic focus on electric vehicles technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/siemens-energy/1395,2025-08-22T00:53:03.511266Z,1755804183,100,-0.477,negative,74,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.513258"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 923, ""shares"": 114, ""comments"": 185}}"
news,Tesla Energy,Tesla Energy wins major contract for solar power implementation,"Tesla Energy wins major contract for solar power implementation. Tesla Energy continues to innovate in the solar power space, with industry analysts noting significant progress in recent developments. The company's strategic focus on solar power technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/tesla-energy/2824,2025-09-10T01:26:03.511266Z,1757447763,93,-1.0,negative,81,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.513258"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 182, ""shares"": 359, ""comments"": 96}}"
news,Tesla Energy,Tesla Energy raises $100M for renewable energy research and development,"Tesla Energy raises $100M for renewable energy research and development. Tesla Energy continues to innovate in the renewable energy space, with industry analysts noting significant progress in recent developments. The company's strategic focus on renewable energy technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/tesla-energy/7121,2025-09-09T21:13:03.511266Z,1757432583,132,0.124,neutral,51,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.513258"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 218, ""shares"": 85, ""comments"": 47}}"
news,Ørsted,Ørsted reports 18% growth in green hydrogen sector,"Ørsted reports 18% growth in green hydrogen sector. Ørsted continues to innovate in the green hydrogen space, with industry analysts noting significant progress in recent developments. The company's strategic focus on green hydrogen technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/ørsted/7031,2025-07-31T20:12:03.511266Z,1753972923,90,0.11,neutral,48,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.513258"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 556, ""shares"": 472, ""comments"": 10}}"
news,First Solar,First Solar wins major contract for sustainability implementation,"First Solar wins major contract for sustainability implementation. First Solar continues to innovate in the sustainability space, with industry analysts noting significant progress in recent developments. The company's strategic focus on sustainability technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/first-solar/1717,2025-07-14T06:31:03.511266Z,1752454863,88,-0.415,negative,18,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.513258"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 24, ""shares"": 155, ""comments"": 7}}"
news,Siemens Energy,Siemens Energy expands clean technology operations to new markets,"Siemens Energy expands clean technology operations to new markets. Siemens Energy continues to innovate in the clean technology space, with industry analysts noting significant progress in recent developments. The company's strategic focus on clean technology technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/siemens-energy/1919,2025-10-05T22:57:03.511266Z,1759685223,40,0.449,positive,173,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.513258"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 340, ""shares"": 15, ""comments"": 77}}"
news,Enphase Energy,Enphase Energy collaborates with universities on energy storage research,"Enphase Energy collaborates with universities on energy storage research. Enphase Energy continues to innovate in the energy storage space, with industry analysts noting significant progress in recent developments. The company's strategic focus on energy storage technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/enphase-energy/1561,2025-08-14T17:53:03.511266Z,1755174183,15,0.624,positive,24,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.513258"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 641, ""shares"": 273, ""comments"": 115}}"
news,Enphase Energy,Enphase Energy stock surges after battery technology product launch,"Enphase Energy stock surges after battery technology product launch. Enphase Energy continues to innovate in the battery technology space, with industry analysts noting significant progress in recent developments. The company's strategic focus on battery technology technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/greentech/enphase-energy/5664,2025-07-25T10:42:03.511266Z,1753420323,141,0.03,neutral,30,"{""domain"": ""greentech"", ""processed_at"": ""2025-10-06T21:11:03.513258"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 943, ""shares"": 341, ""comments"": 11}}"
