source,company,title,text,url,published_at,timestamp,mention_count,sentiment_score,sentiment_label,score,raw_json
news,HTC Vive,Industry experts praise HTC Vive's virtual reality innovation,"Industry experts praise HTC Vive's virtual reality innovation. HTC Vive continues to innovate in the virtual reality space, with industry analysts noting significant progress in recent developments. The company's strategic focus on virtual reality technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/arvr/htc-vive/9725,2025-09-22T19:03:03.465097Z,1758547983,94,0.259,positive,13,"{""domain"": ""arvr"", ""processed_at"": ""2025-10-06T21:11:03.465097"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 271, ""shares"": 227, ""comments"": 123}}"
news,Niantic,Industry experts praise Niantic's augmented reality innovation,"Industry experts praise Niantic's augmented reality innovation. Niantic continues to innovate in the augmented reality space, with industry analysts noting significant progress in recent developments. The company's strategic focus on augmented reality technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/arvr/niantic/4851,2025-10-05T15:24:03.465097Z,1759658043,149,-0.371,negative,69,"{""domain"": ""arvr"", ""processed_at"": ""2025-10-06T21:11:03.465097"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 418, ""shares"": 223, ""comments"": 116}}"
news,Varjo,Varjo acquires startup specializing in headset,"Varjo acquires startup specializing in headset. Varjo continues to innovate in the headset space, with industry analysts noting significant progress in recent developments. The company's strategic focus on headset technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/arvr/varjo/7943,2025-09-17T05:52:03.465097Z,1758068523,78,0.377,positive,20,"{""domain"": ""arvr"", ""processed_at"": ""2025-10-06T21:11:03.465097"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 30, ""shares"": 193, ""comments"": 191}}"
news,Magic Leap,Magic Leap expands augmented reality operations to new markets,"Magic Leap expands augmented reality operations to new markets. Magic Leap continues to innovate in the augmented reality space, with industry analysts noting significant progress in recent developments. The company's strategic focus on augmented reality technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/arvr/magic-leap/7723,2025-08-20T06:14:03.465097Z,1755650643,120,0.202,neutral,46,"{""domain"": ""arvr"", ""processed_at"": ""2025-10-06T21:11:03.465097"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 826, ""shares"": 75, ""comments"": 192}}"
news,Varjo,Varjo launches new metaverse platform for enterprises,"Varjo launches new metaverse platform for enterprises. Varjo continues to innovate in the metaverse space, with industry analysts noting significant progress in recent developments. The company's strategic focus on metaverse technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/arvr/varjo/5985,2025-08-16T09:18:03.465097Z,1755316083,48,0.654,positive,148,"{""domain"": ""arvr"", ""processed_at"": ""2025-10-06T21:11:03.465097"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 831, ""shares"": 74, ""comments"": 65}}"
news,HTC Vive,HTC Vive announces breakthrough in spatial computing technology,"HTC Vive announces breakthrough in spatial computing technology. HTC Vive continues to innovate in the spatial computing space, with industry analysts noting significant progress in recent developments. The company's strategic focus on spatial computing technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/arvr/htc-vive/8242,2025-09-30T04:42:03.465097Z,1759187523,71,0.411,positive,102,"{""domain"": ""arvr"", ""processed_at"": ""2025-10-06T21:11:03.465097"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 840, ""shares"": 30, ""comments"": 83}}"
news,Niantic,Niantic collaborates with universities on immersive research,"Niantic collaborates with universities on immersive research. Niantic continues to innovate in the immersive space, with industry analysts noting significant progress in recent developments. The company's strategic focus on immersive technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/arvr/niantic/3617,2025-09-11T04:01:03.465097Z,1757543463,73,1.0,positive,75,"{""domain"": ""arvr"", ""processed_at"": ""2025-10-06T21:11:03.465097"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 419, ""shares"": 5, ""comments"": 24}}"
news,Magic Leap,Magic Leap acquires startup specializing in immersive,"Magic Leap acquires startup specializing in immersive. Magic Leap continues to innovate in the immersive space, with industry analysts noting significant progress in recent developments. The company's strategic focus on immersive technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/arvr/magic-leap/1848,2025-08-01T04:40:03.465097Z,1754003403,129,0.013,neutral,78,"{""domain"": ""arvr"", ""processed_at"": ""2025-10-06T21:11:03.466101"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 700, ""shares"": 267, ""comments"": 164}}"
news,Magic Leap,Magic Leap CEO discusses future of VR at tech conference,"Magic Leap CEO discusses future of VR at tech conference. Magic Leap continues to innovate in the VR space, with industry analysts noting significant progress in recent developments. The company's strategic focus on VR technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/arvr/magic-leap/4399,2025-08-10T17:35:03.465097Z,1754827503,100,0.035,neutral,100,"{""domain"": ""arvr"", ""processed_at"": ""2025-10-06T21:11:03.466101"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 557, ""shares"": 392, ""comments"": 158}}"
news,Niantic,Niantic announces breakthrough in mixed reality technology,"Niantic announces breakthrough in mixed reality technology. Niantic continues to innovate in the mixed reality space, with industry analysts noting significant progress in recent developments. The company's strategic focus on mixed reality technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/arvr/niantic/2819,2025-08-09T16:11:03.465097Z,1754736063,114,0.554,positive,77,"{""domain"": ""arvr"", ""processed_at"": ""2025-10-06T21:11:03.466101"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 780, ""shares"": 319, ""comments"": 200}}"
