source,company,title,text,url,published_at,timestamp,mention_count,sentiment_score,sentiment_label,score,raw_json
news,TSMC,TSMC wins major contract for semiconductors implementation,"TSMC wins major contract for semiconductors implementation. TSMC continues to innovate in the semiconductors space, with industry analysts noting significant progress in recent developments. The company's strategic focus on semiconductors technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/semiconductors/tsmc/7467,2025-08-26T03:34:03.483116Z,1756159443,69,-0.174,neutral,13,"{""domain"": ""semiconductors"", ""processed_at"": ""2025-10-06T21:11:03.483116"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 66, ""shares"": 275, ""comments"": 18}}"
news,NVIDIA,NVIDIA CEO discusses future of quantum computing at tech conference,"NVIDIA CEO discusses future of quantum computing at tech conference. NVIDIA continues to innovate in the quantum computing space, with industry analysts noting significant progress in recent developments. The company's strategic focus on quantum computing technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/semiconductors/nvidia/7136,2025-09-26T03:23:03.483116Z,1758837183,141,-0.524,negative,126,"{""domain"": ""semiconductors"", ""processed_at"": ""2025-10-06T21:11:03.483116"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 474, ""shares"": 358, ""comments"": 153}}"
news,TSMC,TSMC releases open-source fabrication framework,"TSMC releases open-source fabrication framework. TSMC continues to innovate in the fabrication space, with industry analysts noting significant progress in recent developments. The company's strategic focus on fabrication technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/semiconductors/tsmc/5735,2025-09-01T01:28:03.483116Z,1756670283,32,-0.198,neutral,255,"{""domain"": ""semiconductors"", ""processed_at"": ""2025-10-06T21:11:03.484115"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 30, ""shares"": 418, ""comments"": 191}}"
news,TSMC,TSMC announces breakthrough in semiconductors technology,"TSMC announces breakthrough in semiconductors technology. TSMC continues to innovate in the semiconductors space, with industry analysts noting significant progress in recent developments. The company's strategic focus on semiconductors technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/semiconductors/tsmc/1905,2025-08-03T11:02:03.483116Z,1754199123,93,-0.13,neutral,90,"{""domain"": ""semiconductors"", ""processed_at"": ""2025-10-06T21:11:03.484115"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 443, ""shares"": 128, ""comments"": 59}}"
news,AMD,AMD announces breakthrough in semiconductors technology,"AMD announces breakthrough in semiconductors technology. AMD continues to innovate in the semiconductors space, with industry analysts noting significant progress in recent developments. The company's strategic focus on semiconductors technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/semiconductors/amd/2479,2025-07-27T07:57:03.483116Z,1753583223,96,0.073,neutral,101,"{""domain"": ""semiconductors"", ""processed_at"": ""2025-10-06T21:11:03.484115"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 451, ""shares"": 53, ""comments"": 101}}"
news,NVIDIA,NVIDIA CEO discusses future of quantum computing at tech conference,"NVIDIA CEO discusses future of quantum computing at tech conference. NVIDIA continues to innovate in the quantum computing space, with industry analysts noting significant progress in recent developments. The company's strategic focus on quantum computing technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/semiconductors/nvidia/7953,2025-08-01T23:55:03.483116Z,1754072703,85,-0.47,negative,27,"{""domain"": ""semiconductors"", ""processed_at"": ""2025-10-06T21:11:03.484115"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 699, ""shares"": 223, ""comments"": 98}}"
news,Intel,Industry experts praise Intel's nanotechnology innovation,"Industry experts praise Intel's nanotechnology innovation. Intel continues to innovate in the nanotechnology space, with industry analysts noting significant progress in recent developments. The company's strategic focus on nanotechnology technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/semiconductors/intel/3669,2025-09-08T01:41:03.483116Z,1757275863,89,-0.09,neutral,31,"{""domain"": ""semiconductors"", ""processed_at"": ""2025-10-06T21:11:03.484115"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 337, ""shares"": 416, ""comments"": 45}}"
news,Intel,Intel releases open-source CPU framework,"Intel releases open-source CPU framework. Intel continues to innovate in the CPU space, with industry analysts noting significant progress in recent developments. The company's strategic focus on CPU technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/semiconductors/intel/2967,2025-08-24T03:38:03.483116Z,1755986883,28,-0.407,negative,43,"{""domain"": ""semiconductors"", ""processed_at"": ""2025-10-06T21:11:03.484115"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 702, ""shares"": 27, ""comments"": 25}}"
news,Intel,Intel launches new chips platform for enterprises,"Intel launches new chips platform for enterprises. Intel continues to innovate in the chips space, with industry analysts noting significant progress in recent developments. The company's strategic focus on chips technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/semiconductors/intel/5017,2025-09-19T21:59:03.483116Z,1758299343,138,0.302,positive,14,"{""domain"": ""semiconductors"", ""processed_at"": ""2025-10-06T21:11:03.484115"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 170, ""shares"": 404, ""comments"": 66}}"
news,NVIDIA,NVIDIA announces breakthrough in fabrication technology,"NVIDIA announces breakthrough in fabrication technology. NVIDIA continues to innovate in the fabrication space, with industry analysts noting significant progress in recent developments. The company's strategic focus on fabrication technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/semiconductors/nvidia/9420,2025-08-11T13:17:03.483116Z,1754898423,64,0.456,positive,10,"{""domain"": ""semiconductors"", ""processed_at"": ""2025-10-06T21:11:03.484115"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 846, ""shares"": 144, ""comments"": 163}}"
