source,company,title,text,url,published_at,timestamp,mention_count,sentiment_score,sentiment_label,score,raw_json
news,iRobot,iRobot acquires startup specializing in robotics,"iRobot acquires startup specializing in robotics. iRobot continues to innovate in the robotics space, with industry analysts noting significant progress in recent developments. The company's strategic focus on robotics technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/robotics/irobot/2439,2025-09-07T01:02:03.474114Z,1757187123,112,0.235,neutral,166,"{""domain"": ""robotics"", ""processed_at"": ""2025-10-06T21:11:03.474114"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 989, ""shares"": 179, ""comments"": 54}}"
news,Boston Dynamics,Boston Dynamics raises $100M for RPA research and development,"Boston Dynamics raises $100M for RPA research and development. Boston Dynamics continues to innovate in the RPA space, with industry analysts noting significant progress in recent developments. The company's strategic focus on RPA technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/robotics/boston-dynamics/6149,2025-09-17T14:46:03.474114Z,1758100563,107,-0.226,neutral,53,"{""domain"": ""robotics"", ""processed_at"": ""2025-10-06T21:11:03.474114"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 564, ""shares"": 166, ""comments"": 109}}"
news,Boston Dynamics,Boston Dynamics reports 35% growth in robotics sector,"Boston Dynamics reports 35% growth in robotics sector. Boston Dynamics continues to innovate in the robotics space, with industry analysts noting significant progress in recent developments. The company's strategic focus on robotics technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/robotics/boston-dynamics/6248,2025-10-02T10:34:03.474114Z,1759381443,146,-0.422,negative,75,"{""domain"": ""robotics"", ""processed_at"": ""2025-10-06T21:11:03.474114"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 680, ""shares"": 12, ""comments"": 152}}"
news,iRobot,iRobot partners with major tech firms on robotics initiative,"iRobot partners with major tech firms on robotics initiative. iRobot continues to innovate in the robotics space, with industry analysts noting significant progress in recent developments. The company's strategic focus on robotics technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/robotics/irobot/6005,2025-08-19T21:51:03.474114Z,1755620463,47,0.786,positive,157,"{""domain"": ""robotics"", ""processed_at"": ""2025-10-06T21:11:03.474114"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 211, ""shares"": 452, ""comments"": 32}}"
news,ABB Robotics,ABB Robotics CEO discusses future of collaborative robots at tech conference,"ABB Robotics CEO discusses future of collaborative robots at tech conference. ABB Robotics continues to innovate in the collaborative robots space, with industry analysts noting significant progress in recent developments. The company's strategic focus on collaborative robots technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/robotics/abb-robotics/5821,2025-08-06T18:34:03.474114Z,1754485443,91,0.181,neutral,178,"{""domain"": ""robotics"", ""processed_at"": ""2025-10-06T21:11:03.474114"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 959, ""shares"": 105, ""comments"": 57}}"
news,Fanuc,Fanuc faces regulatory scrutiny over robotic surgery practices,"Fanuc faces regulatory scrutiny over robotic surgery practices. Fanuc continues to innovate in the robotic surgery space, with industry analysts noting significant progress in recent developments. The company's strategic focus on robotic surgery technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/robotics/fanuc/5177,2025-09-20T14:01:03.474114Z,1758357063,43,1.0,positive,123,"{""domain"": ""robotics"", ""processed_at"": ""2025-10-06T21:11:03.474114"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 794, ""shares"": 456, ""comments"": 125}}"
news,Boston Dynamics,Boston Dynamics acquires startup specializing in autonomous systems,"Boston Dynamics acquires startup specializing in autonomous systems. Boston Dynamics continues to innovate in the autonomous systems space, with industry analysts noting significant progress in recent developments. The company's strategic focus on autonomous systems technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/robotics/boston-dynamics/9613,2025-08-15T19:07:03.474114Z,1755265023,34,0.024,neutral,245,"{""domain"": ""robotics"", ""processed_at"": ""2025-10-06T21:11:03.474114"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 867, ""shares"": 333, ""comments"": 195}}"
news,UiPath,UiPath faces regulatory scrutiny over autonomous systems practices,"UiPath faces regulatory scrutiny over autonomous systems practices. UiPath continues to innovate in the autonomous systems space, with industry analysts noting significant progress in recent developments. The company's strategic focus on autonomous systems technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/robotics/uipath/7657,2025-10-07T10:46:03.474114Z,1759814163,116,-0.104,neutral,197,"{""domain"": ""robotics"", ""processed_at"": ""2025-10-06T21:11:03.474114"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 593, ""shares"": 87, ""comments"": 15}}"
news,ABB Robotics,ABB Robotics collaborates with universities on process automation research,"ABB Robotics collaborates with universities on process automation research. ABB Robotics continues to innovate in the process automation space, with industry analysts noting significant progress in recent developments. The company's strategic focus on process automation technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/robotics/abb-robotics/8377,2025-08-15T06:32:03.474114Z,1755219723,100,-0.318,negative,12,"{""domain"": ""robotics"", ""processed_at"": ""2025-10-06T21:11:03.474114"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 495, ""shares"": 309, ""comments"": 175}}"
news,ABB Robotics,ABB Robotics CEO discusses future of RPA at tech conference,"ABB Robotics CEO discusses future of RPA at tech conference. ABB Robotics continues to innovate in the RPA space, with industry analysts noting significant progress in recent developments. The company's strategic focus on RPA technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/robotics/abb-robotics/8341,2025-10-06T20:59:03.474114Z,1759764543,85,-0.306,negative,43,"{""domain"": ""robotics"", ""processed_at"": ""2025-10-06T21:11:03.475120"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 520, ""shares"": 429, ""comments"": 181}}"
news,Boston Dynamics,Boston Dynamics launches new automation platform for enterprises,"Boston Dynamics launches new automation platform for enterprises. Boston Dynamics continues to innovate in the automation space, with industry analysts noting significant progress in recent developments. The company's strategic focus on automation technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/robotics/boston-dynamics/4955,2025-07-11T00:32:03.474114Z,1752174123,88,0.114,neutral,153,"{""domain"": ""robotics"", ""processed_at"": ""2025-10-06T21:11:03.475120"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 248, ""shares"": 223, ""comments"": 126}}"
