source,company,title,text,url,published_at,timestamp,mention_count,sentiment_score,sentiment_label,score,raw_json
news,D-Wave Systems,D-Wave Systems CEO discusses future of superposition at tech conference,"D-Wave Systems CEO discusses future of superposition at tech conference. D-Wave Systems continues to innovate in the superposition space, with industry analysts noting significant progress in recent developments. The company's strategic focus on superposition technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/quantum/d-wave-systems/9434,2025-09-17T19:46:03.492256Z,1758118563,42,-0.3,negative,146,"{""domain"": ""quantum"", ""processed_at"": ""2025-10-06T21:11:03.492256"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 216, ""shares"": 100, ""comments"": 80}}"
news,D-Wave Systems,Industry experts praise D-Wave Systems's quantum algorithms innovation,"Industry experts praise D-Wave Systems's quantum algorithms innovation. D-Wave Systems continues to innovate in the quantum algorithms space, with industry analysts noting significant progress in recent developments. The company's strategic focus on quantum algorithms technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/quantum/d-wave-systems/8514,2025-08-27T06:55:03.492256Z,1756257903,67,0.751,positive,132,"{""domain"": ""quantum"", ""processed_at"": ""2025-10-06T21:11:03.492256"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 583, ""shares"": 263, ""comments"": 132}}"
news,IonQ,IonQ stock surges after quantum hardware product launch,"IonQ stock surges after quantum hardware product launch. IonQ continues to innovate in the quantum hardware space, with industry analysts noting significant progress in recent developments. The company's strategic focus on quantum hardware technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/quantum/ionq/1923,2025-09-19T15:29:03.492256Z,1758275943,53,0.351,positive,183,"{""domain"": ""quantum"", ""processed_at"": ""2025-10-06T21:11:03.493254"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 612, ""shares"": 439, ""comments"": 174}}"
news,D-Wave Systems,D-Wave Systems announces breakthrough in quantum computing technology,"D-Wave Systems announces breakthrough in quantum computing technology. D-Wave Systems continues to innovate in the quantum computing space, with industry analysts noting significant progress in recent developments. The company's strategic focus on quantum computing technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/quantum/d-wave-systems/2800,2025-07-22T20:57:03.492256Z,1753198023,46,-0.619,negative,44,"{""domain"": ""quantum"", ""processed_at"": ""2025-10-06T21:11:03.493254"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 433, ""shares"": 323, ""comments"": 116}}"
news,IBM Quantum,IBM Quantum announces breakthrough in quantum computing technology,"IBM Quantum announces breakthrough in quantum computing technology. IBM Quantum continues to innovate in the quantum computing space, with industry analysts noting significant progress in recent developments. The company's strategic focus on quantum computing technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/quantum/ibm-quantum/6238,2025-09-27T16:51:03.492256Z,1758972063,122,0.474,positive,56,"{""domain"": ""quantum"", ""processed_at"": ""2025-10-06T21:11:03.493254"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 661, ""shares"": 197, ""comments"": 105}}"
news,IBM Quantum,IBM Quantum CEO discusses future of quantum hardware at tech conference,"IBM Quantum CEO discusses future of quantum hardware at tech conference. IBM Quantum continues to innovate in the quantum hardware space, with industry analysts noting significant progress in recent developments. The company's strategic focus on quantum hardware technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/quantum/ibm-quantum/2448,2025-09-13T18:31:03.492256Z,1757768463,89,0.028,neutral,103,"{""domain"": ""quantum"", ""processed_at"": ""2025-10-06T21:11:03.493254"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 531, ""shares"": 348, ""comments"": 0}}"
news,Xanadu,Xanadu addresses concerns about quantum computing security,"Xanadu addresses concerns about quantum computing security. Xanadu continues to innovate in the quantum computing space, with industry analysts noting significant progress in recent developments. The company's strategic focus on quantum computing technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/quantum/xanadu/6797,2025-09-12T04:53:03.492256Z,1757632983,100,0.147,neutral,232,"{""domain"": ""quantum"", ""processed_at"": ""2025-10-06T21:11:03.493254"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 181, ""shares"": 322, ""comments"": 164}}"
news,D-Wave Systems,D-Wave Systems announces breakthrough in quantum annealing technology,"D-Wave Systems announces breakthrough in quantum annealing technology. D-Wave Systems continues to innovate in the quantum annealing space, with industry analysts noting significant progress in recent developments. The company's strategic focus on quantum annealing technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/quantum/d-wave-systems/8687,2025-07-11T17:55:03.492256Z,1752236703,115,0.103,neutral,47,"{""domain"": ""quantum"", ""processed_at"": ""2025-10-06T21:11:03.493254"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 283, ""shares"": 236, ""comments"": 19}}"
news,Rigetti,Rigetti reports 46% growth in superposition sector,"Rigetti reports 46% growth in superposition sector. Rigetti continues to innovate in the superposition space, with industry analysts noting significant progress in recent developments. The company's strategic focus on superposition technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/quantum/rigetti/7706,2025-07-25T02:35:03.492256Z,1753391103,84,0.558,positive,163,"{""domain"": ""quantum"", ""processed_at"": ""2025-10-06T21:11:03.493254"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 329, ""shares"": 235, ""comments"": 61}}"
news,IBM Quantum,IBM Quantum reports 47% growth in quantum software sector,"IBM Quantum reports 47% growth in quantum software sector. IBM Quantum continues to innovate in the quantum software space, with industry analysts noting significant progress in recent developments. The company's strategic focus on quantum software technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/quantum/ibm-quantum/2457,2025-07-23T09:22:03.492256Z,1753242723,134,0.495,positive,212,"{""domain"": ""quantum"", ""processed_at"": ""2025-10-06T21:11:03.493254"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 343, ""shares"": 321, ""comments"": 0}}"
