source,company,title,text,url,published_at,timestamp,mention_count,sentiment_score,sentiment_label,score,raw_json
news,Samsung Electronics,Samsung Electronics reports 10% growth in wireless technology sector,"Samsung Electronics reports 10% growth in wireless technology sector. Samsung Electronics continues to innovate in the wireless technology space, with industry analysts noting significant progress in recent developments. The company's strategic focus on wireless technology technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/consumer/samsung-electronics/3982,2025-07-16T08:47:03.501258Z,1752635823,14,-0.322,negative,67,"{""domain"": ""consumer"", ""processed_at"": ""2025-10-06T21:11:03.502262"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 267, ""shares"": 155, ""comments"": 146}}"
news,Xiaomi,Xiaomi acquires startup specializing in wireless technology,"Xiaomi acquires startup specializing in wireless technology. Xiaomi continues to innovate in the wireless technology space, with industry analysts noting significant progress in recent developments. The company's strategic focus on wireless technology technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/consumer/xiaomi/5612,2025-08-24T04:58:03.501258Z,1755991683,46,-0.023,neutral,137,"{""domain"": ""consumer"", ""processed_at"": ""2025-10-06T21:11:03.502262"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 376, ""shares"": 397, ""comments"": 90}}"
news,LG Electronics,LG Electronics acquires startup specializing in IoT devices,"LG Electronics acquires startup specializing in IoT devices. LG Electronics continues to innovate in the IoT devices space, with industry analysts noting significant progress in recent developments. The company's strategic focus on IoT devices technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/consumer/lg-electronics/7282,2025-10-03T05:23:03.501258Z,1759449183,92,0.935,positive,151,"{""domain"": ""consumer"", ""processed_at"": ""2025-10-06T21:11:03.502262"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 584, ""shares"": 413, ""comments"": 100}}"
news,Sony,Sony partners with major tech firms on laptops initiative,"Sony partners with major tech firms on laptops initiative. Sony continues to innovate in the laptops space, with industry analysts noting significant progress in recent developments. The company's strategic focus on laptops technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/consumer/sony/2368,2025-08-24T14:26:03.501258Z,1756025763,32,-0.259,negative,116,"{""domain"": ""consumer"", ""processed_at"": ""2025-10-06T21:11:03.502262"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 454, ""shares"": 376, ""comments"": 199}}"
news,Xiaomi,Xiaomi reports 36% growth in consumer electronics sector,"Xiaomi reports 36% growth in consumer electronics sector. Xiaomi continues to innovate in the consumer electronics space, with industry analysts noting significant progress in recent developments. The company's strategic focus on consumer electronics technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/consumer/xiaomi/1904,2025-07-10T15:36:03.501258Z,1752141963,38,-0.208,neutral,50,"{""domain"": ""consumer"", ""processed_at"": ""2025-10-06T21:11:03.502262"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 980, ""shares"": 338, ""comments"": 139}}"
news,Xiaomi,Xiaomi reports 29% growth in wearables sector,"Xiaomi reports 29% growth in wearables sector. Xiaomi continues to innovate in the wearables space, with industry analysts noting significant progress in recent developments. The company's strategic focus on wearables technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/consumer/xiaomi/9841,2025-07-22T02:15:03.501258Z,1753130703,149,0.16,neutral,16,"{""domain"": ""consumer"", ""processed_at"": ""2025-10-06T21:11:03.502262"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 295, ""shares"": 342, ""comments"": 143}}"
news,Xiaomi,Xiaomi stock surges after 5G product launch,"Xiaomi stock surges after 5G product launch. Xiaomi continues to innovate in the 5G space, with industry analysts noting significant progress in recent developments. The company's strategic focus on 5G technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/consumer/xiaomi/9954,2025-08-22T08:16:03.501258Z,1755830763,74,0.059,neutral,71,"{""domain"": ""consumer"", ""processed_at"": ""2025-10-06T21:11:03.503264"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 939, ""shares"": 292, ""comments"": 50}}"
news,Xiaomi,Xiaomi stock surges after smartphones product launch,"Xiaomi stock surges after smartphones product launch. Xiaomi continues to innovate in the smartphones space, with industry analysts noting significant progress in recent developments. The company's strategic focus on smartphones technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/consumer/xiaomi/9558,2025-09-23T10:46:03.501258Z,1758604563,87,-0.551,negative,27,"{""domain"": ""consumer"", ""processed_at"": ""2025-10-06T21:11:03.503264"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 474, ""shares"": 191, ""comments"": 158}}"
news,Samsung Electronics,Samsung Electronics releases open-source wearables framework,"Samsung Electronics releases open-source wearables framework. Samsung Electronics continues to innovate in the wearables space, with industry analysts noting significant progress in recent developments. The company's strategic focus on wearables technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/consumer/samsung-electronics/5815,2025-08-04T00:58:03.501258Z,1754249283,11,0.761,positive,531,"{""domain"": ""consumer"", ""processed_at"": ""2025-10-06T21:11:03.503264"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 327, ""shares"": 23, ""comments"": 101}}"
news,Sony,Sony partners with major tech firms on tablets initiative,"Sony partners with major tech firms on tablets initiative. Sony continues to innovate in the tablets space, with industry analysts noting significant progress in recent developments. The company's strategic focus on tablets technology positions it well for future growth in this rapidly evolving market.",https://example-news.com/consumer/sony/8890,2025-09-01T02:24:03.501258Z,1756673643,22,-0.071,neutral,103,"{""domain"": ""consumer"", ""processed_at"": ""2025-10-06T21:11:03.503264"", ""source_type"": ""news"", ""engagement_metrics"": {""likes"": 675, ""shares"": 458, ""comments"": 36}}"
